appid,name,AR,AU,BR,CA,CN,DE,FR,GB,JP,PL,TR,US,diff_vs_US_AR_%,diff_vs_US_AU_%,diff_vs_US_BR_%,diff_vs_US_CA_%,diff_vs_US_CN_%,diff_vs_US_DE_%,diff_vs_US_FR_%,diff_vs_US_GB_%,diff_vs_US_JP_%,diff_vs_US_PL_%,diff_vs_US_TR_%
1004640,FINAL FANTASY TACTICS - The Ivalice Chronicles,39.99,74.95,219.9,66.99,298.0,49.99,49.99,39.99,5800.0,199.0,39.99,49.99,-20.004000800160032,49.92998599719944,339.8879775955191,34.006801360272036,496.1192238447689,0.0,0.0,-20.004000800160032,11502.320464092818,298.07961592318463,-20.004000800160032
1030300,Hollow Knight: Silksong,6.99,29.5,59.99,25.99,76.0,19.5,19.5,16.75,2300.0,74.99,7.99,19.99,-65.03251625812906,47.57378689344674,200.10005002501254,30.015007503751878,280.1900950475238,-2.4512256128063954,-2.4512256128063954,-16.208104052026005,11405.75287643822,275.1375687843922,-60.03001500750374
1086940,Baldur's Gate 3,26.24,67.46,149.99,59.99,223.5,44.99,44.99,37.49,6374.0,186.75,26.24,44.99,-41.675927983996445,49.944432096021316,233.38519671038006,33.34074238719715,396.77706156923756,0.0,0.0,-16.670371193598577,14067.592798399644,315.0922427206046,-41.675927983996445
1091500,Cyberpunk 2077,15.74,31.48,69.96,27.99,104.3,20.99,20.99,17.49,3072.0,69.65,15.74,20.99,-25.011910433539775,49.97617913292045,233.30157217722726,33.34921391138638,396.903287279657,0.0,0.0,-16.67460695569319,14535.540733682708,231.8246784182945,-25.011910433539775
1142710,Total War: WARHAMMER III,12.49,24.98,74.75,19.99,74.5,14.99,14.99,12.49,1750.0,72.25,12.49,14.99,-16.67778519012675,66.6444296197465,398.6657771847899,33.35557038025349,396.9979986657772,0.0,0.0,-16.67778519012675,11574.449633088725,381.9879919946631,-16.67778519012675
1144200,Ready or Not,16.49,36.75,65.99,29.99,79.5,24.99,24.99,22.49,3575.0,84.99,14.49,24.99,-34.013605442176875,47.058823529411775,164.0656262505002,20.008003201280513,218.1272509003602,0.0,0.0,-10.004001600640256,14205.722288915567,240.09603841536617,-42.01680672268907
1145350,Hades II,14.99,43.95,88.99,38.99,108.0,28.99,28.99,24.99,3400.0,117.0,14.99,29.99,-50.01667222407469,46.54884961653886,196.73224408136048,30.01000333444483,260.1200400133378,-3.334444814938313,-3.334444814938313,-16.672224074691563,11237.112370790264,290.1300433477826,-50.01667222407469
1151340,Fallout 76,5.99,13.73,38.75,13.74,41.25,9.99,9.99,8.74,1200.0,42.47,5.99,9.99,-40.04004004004004,37.43743743743744,287.88788788788787,37.53753753753754,312.9129129129129,0.0,0.0,-12.512512512512513,11912.012012012012,325.12512512512507,-40.04004004004004
1174180,Red Dead Redemption 2,14.99,22.48,74.97,19.99,69.75,14.99,14.99,14.99,2154.0,62.47,14.99,14.99,0.0,49.96664442961975,400.133422281521,33.35557038025349,365.31020680453634,0.0,0.0,0.0,14269.579719813211,316.7444963308872,0.0
1285190,Borderlands 4,69.99,109.95,379.9,89.99,298.0,69.99,69.99,59.99,9460.0,299.0,69.99,69.99,0.0,57.09387055293615,442.79182740391485,28.575510787255325,325.7751107301043,0.0,0.0,-14.287755393627652,13416.216602371767,327.20388626946703,0.0
1326470,Sons Of The Forest,4.94,14.5,29.36,12.86,35.64,9.56,9.56,8.24,1122.0,45.86,4.94,9.89,-50.05055611729019,46.61274014155712,196.86552072800808,30.030333670374105,260.3640040444894,-3.33670374115268,-3.33670374115268,-16.6835187057634,11244.792719919109,363.70070778564207,-50.05055611729019
1669000,Age of Wonders 4,14.99,34.97,89.99,33.49,99.0,24.99,24.99,20.99,3495.0,115.99,14.99,24.99,-40.01600640256102,39.935974389755906,260.10404161664667,34.01360544217689,296.1584633853542,0.0,0.0,-16.00640256102441,13885.594237695079,364.14565826330534,-40.01600640256102
1757300,Jump Space,7.99,29.5,57.99,25.99,69.0,19.5,19.5,16.75,2300.0,69.0,7.99,19.99,-60.03001500750374,47.57378689344674,190.0950475237619,30.015007503751878,245.1725862931466,-2.4512256128063954,-2.4512256128063954,-16.208104052026005,11405.75287643822,245.1725862931466,-60.03001500750374
1903340,Clair Obscur: Expedition 33,31.49,62.95,179.1,58.49,196.2,44.99,44.99,37.79,6732.0,161.1,31.49,44.99,-30.006668148477445,39.919982218270725,298.08846410313396,30.006668148477438,336.09691042453875,0.0,0.0,-16.003556345854637,14863.325183374085,258.0795732384974,-30.006668148477445
1984270,Digimon Story Time Stranger,55.99,99.95,319.9,93.49,298.0,69.99,69.99,54.99,8910.0,299.0,45.99,69.99,-20.00285755107872,42.80611515930849,357.0652950421489,33.576225175025,325.7751107301043,0.0,0.0,-21.431633090441483,12630.390055722248,327.20388626946703,-34.290612944706375
2183900,"Warhammer 40,000: Space Marine 2",17.49,44.97,99.95,39.99,124.5,29.99,29.99,27.49,4900.0,104.99,19.99,29.99,-41.68056018672891,49.94998332777593,233.2777592530844,33.34444814938314,315.13837945982,0.0,0.0,-8.336112037345782,16238.779593197734,250.08336112037347,-33.344448149383126
2215430,Ghost of Tsushima DIRECTOR'S CUT,33.49,63.61,167.43,53.59,266.66,40.19,40.19,33.49,5085.0,173.53,40.19,40.19,-16.670813635232633,58.27320228912666,316.59616820104503,33.34162727046531,563.4983826822594,0.0,0.0,-16.670813635232633,12552.401094799703,331.7740731525255,0.0
2246340,Monster Hunter Wilds,36.74,73.46,195.3,62.99,243.6,48.99,48.99,41.99,6293.0,209.3,36.74,48.99,-25.005103082261687,49.94896917738312,298.65278628291486,28.577260665441926,397.24433557868946,0.0,0.0,-14.288630332720963,12745.478669116146,327.2300469483568,-25.005103082261687
2486820,Sonic Racing: CrossWorlds,59.99,107.95,399.9,93.99,298.0,69.99,69.99,64.99,7990.0,299.0,69.99,69.99,-14.287755393627652,54.23631947421062,471.3673381911701,34.29061294470639,325.7751107301043,0.0,0.0,-7.143877696813831,11315.916559508503,327.20388626946703,0.0
252490,Rust,9.49,29.97,59.99,25.99,69.0,19.99,19.99,17.49,2300.0,59.99,9.49,19.99,-52.52626313156578,49.92496248124063,200.10005002501254,30.015007503751878,245.1725862931466,0.0,0.0,-12.506253126563283,11405.75287643822,200.10005002501254,-52.52626313156578
2651280,Marvel's Spider-Man 2,39.99,75.96,199.92,63.99,318.4,47.99,47.99,39.99,6072.0,207.2,47.99,47.99,-16.670139612419256,58.2829756199208,316.5867889143571,33.34027922483851,563.4715565742862,0.0,0.0,-16.670139612419256,12552.635965826214,331.75661596165867,0.0
275850,No Man's Sky,10.79,35.18,64.8,31.19,70.0,23.59,23.59,19.99,2600.0,109.99,10.79,23.99,-55.022926219258025,46.64443518132556,170.1125468945394,30.012505210504393,191.7882451021259,-1.6673614005835706,-1.6673614005835706,-16.673614005835766,10737.849103793249,358.48270112546896,-55.022926219258025
2807960,Battlefield™ 6,69.99,109.95,299.0,89.99,268.0,69.99,69.99,59.99,9800.0,299.9,69.99,69.99,0.0,57.09387055293615,327.20388626946703,28.575510787255325,282.9118445492213,0.0,0.0,-14.287755393627652,13902.00028575511,328.48978425489355,0.0
281990,Stellaris,5.99,14.23,35.99,13.24,42.0,9.99,9.99,8.74,1347.0,46.24,5.99,9.99,-40.04004004004004,42.44244244244245,260.2602602602603,32.532532532532535,320.4204204204204,0.0,0.0,-12.512512512512513,13383.483483483482,362.86286286286287,-40.04004004004004
294100,RimWorld,14.39,35.96,81.59,31.99,102.4,25.59,25.59,22.79,3120.0,107.99,14.39,27.99,-48.588781707752766,28.474455162558066,191.4969632011433,14.290818149339051,265.84494462307975,-8.574490889603425,-8.574490889603425,-18.57806359414076,11046.83815648446,285.81636298678103,-48.588781707752766
2947440,SILENT HILL f,32.99,116.95,349.9,93.49,391.0,79.99,79.99,69.99,8580.0,339.0,36.99,69.99,-52.86469495642234,67.0952993284755,399.92856122303186,33.576225175025,458.6512358908416,14.287755393627663,14.287755393627663,0.0,12158.894127732534,384.35490784397774,-47.14959279897128
3008130,Dying Light: The Beast,44.99,89.95,249.0,79.99,248.0,59.99,59.99,49.99,8090.0,229.99,44.99,59.99,-25.00416736122687,49.941656942823805,315.069178196366,33.33888981496915,313.40223370561756,0.0,0.0,-16.66944490748458,13385.580930155027,283.38056342723786,-25.00416736122687
311210,Call of Duty®: Black Ops III,19.79,31.66,108.86,26.39,111.54,19.79,19.79,14.84,2966.0,85.3,19.79,19.79,0.0,59.97978777160182,450.07579585649313,33.350176856998495,463.6179888832744,0.0,0.0,-25.012632642748862,14887.367357251136,331.0257705912076,0.0
3164500,Schedule I,7.34,20.65,41.99,18.19,53.2,13.65,13.65,11.72,1610.0,64.39,7.34,13.99,-47.53395282344532,47.60543245175124,200.14295925661187,30.02144388849179,280.27162258756255,-2.4303073624017144,-2.4303073624017144,-16.225875625446744,11408.220157255182,360.25732666190135,-47.53395282344532
3230400,EA SPORTS™ Madden NFL 26,48.99,76.96,209.3,62.99,243.6,48.99,48.99,41.99,6860.0,209.93,48.99,48.99,0.0,57.0932843437436,327.2300469483568,28.577260665441926,397.24433557868946,0.0,0.0,-14.288630332720963,13902.857726066542,328.5160236783017,0.0
3314790,CloverPit,5.21,13.05,29.69,11.69,37.8,8.99,8.99,7.65,1080.0,32.39,5.21,8.99,-42.04671857619577,45.16129032258065,230.2558398220245,30.0333704115684,320.46718576195764,0.0,0.0,-14.905450500556173,11913.348164627363,260.2892102335928,-42.04671857619577
3405340,Megabonk,4.92,12.32,28.04,11.04,35.7,8.28,8.28,7.22,1020.0,30.71,4.92,8.49,-42.04946996466432,45.111896348645466,230.27090694935214,30.035335689045922,320.49469964664314,-2.4734982332155577,-2.4734982332155577,-14.958775029446414,11914.134275618375,261.71967020023556,-42.04946996466432
3405690,EA SPORTS FC™ 26,69.99,109.95,299.0,89.99,248.0,69.99,69.99,59.99,9800.0,299.9,69.99,69.99,0.0,57.09387055293615,327.20388626946703,28.575510787255325,254.33633376196602,0.0,0.0,-14.287755393627652,13902.00028575511,328.48978425489355,0.0
3472040,NBA 2K26,69.99,99.95,399.9,89.99,298.0,69.99,69.99,59.99,9460.0,319.0,69.99,69.99,0.0,42.80611515930849,471.3673381911701,28.575510787255325,325.7751107301043,0.0,0.0,-14.287755393627652,13416.216602371767,355.7793970567224,0.0
3489700,Stellar Blade™,47.99,87.96,199.92,63.99,214.4,55.99,55.99,47.99,6384.0,239.2,47.99,47.99,0.0,83.28818503854968,316.5867889143571,33.34027922483851,346.75974161283597,16.670139612419256,16.670139612419256,0.0,13202.771410710566,398.4371744113356,0.0
3527290,PEAK,3.19,9.43,19.19,8.39,26.4,5.99,5.99,5.11,704.0,19.99,3.19,6.39,-50.07824726134585,47.574334898278565,200.3129890453834,31.298904538341173,313.14553990610324,-6.259780907668223,-6.259780907668223,-20.031298904538332,10917.214397496089,212.83255086071983,-50.07824726134585
3606480,Call of Duty®: Black Ops 7,69.99,109.95,349.9,89.99,348.0,79.99,79.99,69.99,9800.0,349.0,69.99,69.99,0.0,57.09387055293615,399.92856122303186,28.575510787255325,397.2138876982426,14.287755393627663,14.287755393627663,0.0,13902.00028575511,398.6426632376054,0.0
374320,DARK SOULS™ III,23.99,42.47,114.95,39.99,134.0,29.99,29.99,19.99,2970.0,99.99,19.99,29.99,-20.00666888962988,41.61387129043015,283.2944314771591,33.34444814938314,346.81560520173394,0.0,0.0,-33.344448149383126,9803.30110036679,233.4111370456819,-33.344448149383126
381210,Dead by Daylight,5.99,11.58,27.99,10.39,37.5,7.99,7.99,5.99,792.0,28.79,5.99,7.99,-25.03128911138924,44.93116395494368,250.31289111389236,30.037546933667088,369.3366708385482,0.0,0.0,-25.03128911138924,9812.390488110137,260.325406758448,-25.03128911138924
553850,HELLDIVERS™ 2,31.99,47.96,159.6,39.99,158.4,31.99,31.99,27.99,3584.0,135.2,31.99,31.99,0.0,49.92185057830573,398.9059080962801,25.007814942169443,395.1547358549547,0.0,0.0,-12.503907471084716,11103.501094091906,322.63207252266335,0.0
990080,Hogwarts Legacy,6.0,17.99,49.99,15.99,76.8,11.99,11.99,9.99,1755.0,53.8,11.99,11.99,-49.9582985821518,50.041701417848195,316.93077564637196,33.361134278565466,540.533778148457,0.0,0.0,-16.680567139282733,14537.1976647206,348.70725604670554,0.0
